bmac_can_receive enabled=0 waiting=0
bmac_reg_write addr=0x760 val=0x5 size=2
bmac_reg_write addr=0x750 val=0x212 size=2
bmac_reg_write addr=0x740 val=0x34d6 size=2
bmac_reg_write addr=0x770 val=0xfff size=2
bmac_reg_write addr=0x630 val=0xb00 size=2
bmac_reg_write addr=0x630 val=0xb01 size=2
bmac_rx_enable_flush RXCFG_ENABLE 0->1, flushing queued packets, waiting=1
bmac_reg_write addr=0x430 val=0x1 size=2
bmac_reg_write addr=0x630 val=0xb01 size=2
bmac_reg_write addr=0x430 val=0x1 size=2
bmac_tx_send len=372 loopback=0
bmac_can_receive enabled=1 waiting=1
bmac_rx_receive size=590 accepted=1 waiting=1 has_io=1
bmac_rx_dma_armed addr=0x73dd90 len=1536
bmac_irq_update raise=0 status=0x1 int_mask=0xfcff
bmac_irq_update raise=1 status=0x101 int_mask=0xfcff
bmac_irq_update raise=0 status=0x0 int_mask=0xfcff
bmac_tx_send len=378 loopback=0
bmac_can_receive enabled=1 waiting=1
bmac_rx_receive size=590 accepted=1 waiting=1 has_io=1
bmac_rx_dma_armed addr=0x73e390 len=1536
bmac_irq_update raise=0 status=0x1 int_mask=0xfcff
bmac_irq_update raise=1 status=0x101 int_mask=0xfcff
bmac_irq_update raise=0 status=0x0 int_mask=0xfcff
bmac_reg_write addr=0x630 val=0xb01 size=2
bmac_reg_write addr=0x430 val=0x1 size=2
bmac_tx_send len=42 loopback=0
bmac_irq_update raise=1 status=0x100 int_mask=0xfcff
bmac_irq_update raise=0 status=0x0 int_mask=0xfcff
bmac_reg_write addr=0x630 val=0x300 size=2
bmac_reg_write addr=0x700 val=0x40 size=2
bmac_reg_write addr=0x710 val=0x0 size=2
bmac_reg_write addr=0x720 val=0x0 size=2
bmac_reg_write addr=0x730 val=0x0 size=2
bmac_reg_write addr=0x630 val=0xb01 size=2
bmac_rx_enable_flush RXCFG_ENABLE 0->1, flushing queued packets, waiting=1
bmac_tx_send len=42 loopback=0
bmac_irq_update raise=1 status=0x100 int_mask=0xfcff
bmac_irq_update raise=0 status=0x0 int_mask=0xfcff
bmac_tx_send len=42 loopback=0
bmac_irq_update raise=1 status=0x100 int_mask=0xfcff
bmac_irq_update raise=0 status=0x0 int_mask=0xfcff
bmac_tx_send len=42 loopback=0
bmac_irq_update raise=1 status=0x100 int_mask=0xfcff
bmac_irq_update raise=0 status=0x0 int_mask=0xfcff
bmac_tx_send len=42 loopback=0
bmac_irq_update raise=1 status=0x100 int_mask=0xfcff
bmac_irq_update raise=0 status=0x0 int_mask=0xfcff
bmac_tx_send len=42 loopback=0
bmac_irq_update raise=1 status=0x100 int_mask=0xfcff
bmac_irq_update raise=0 status=0x0 int_mask=0xfcff
